ASSET	HOUSE	            ASSETVAL	                dist
    0	    0	   0.000000000000000	   0.203399299979742
    0	    1	  -2.432000000000000	   0.001483717044396
    0	    2	  -3.040000000000000	   0.004120924419651
    0	    3	  -3.648000000000001	   0.000033678546495
    0	    4	  -4.256000000000000	   0.000000000000000
    0	    5	  -4.864000000000001	   0.000000000000000
    0	    6	 -12.160000000000002	   0.001501363919183
    1	    0	   0.066666666666667	   0.024474678519606
    1	    1	  -2.357226666666667	   0.002870161257698
    1	    2	  -2.963200000000001	   0.006472758961297
    1	    3	  -3.569173333333334	   0.000028073859183
    1	    4	  -4.175146666666667	   0.000000000000000
    1	    5	  -4.781120000000000	   0.000000000000000
    1	    6	 -12.052800000000001	   0.000588995294081
    2	    0	   0.133333333333333	   0.028442664537401
    2	    1	  -2.282453333333334	   0.007031116530115
    2	    2	  -2.886400000000001	   0.006680636981328
    2	    3	  -3.490346666666667	   0.000033068446878
    2	    4	  -4.094293333333334	   0.000000000000000
    2	    5	  -4.698240000000001	   0.000000000000000
    2	    6	 -11.945600000000002	   0.000757702074104
    3	    0	   0.200000000000000	   0.016441588402302
    3	    1	  -2.207680000000000	   0.005073131720834
    3	    2	  -2.809600000000001	   0.006326633623526
    3	    3	  -3.411520000000001	   0.000036423963392
    3	    4	  -4.013440000000000	   0.000000000000000
    3	    5	  -4.615360000000001	   0.000000000000000
    3	    6	 -11.838400000000002	   0.001175300872022
    4	    0	   0.266666666666667	   0.015547513667961
    4	    1	  -2.132906666666667	   0.004654861727005
    4	    2	  -2.732800000000001	   0.006363137813392
    4	    3	  -3.332693333333334	   0.000041251191554
    4	    4	  -3.932586666666667	   0.000000000000000
    4	    5	  -4.532480000000001	   0.000000000000000
    4	    6	 -11.731200000000001	   0.001086034010988
    5	    0	   0.333333333333333	   0.011383653411664
    5	    1	  -2.058133333333334	   0.004029959435357
    5	    2	  -2.656000000000001	   0.006987722064167
    5	    3	  -3.253866666666667	   0.000046585142306
    5	    4	  -3.851733333333334	   0.000000000000000
